date,Kabupaten,Rainfall_mm
2014-01-01,Bandung,25.69305038
2014-01-02,Bandung,35.7383194
2014-01-03,Bandung,13.80822515
2014-01-04,Bandung,10.7128315
2014-01-05,Bandung,30.73605251
2014-01-06,Bandung,0.9314087927
2014-01-07,Bandung,122.1341057
2014-01-08,Bandung,88.13201523
2014-01-09,Bandung,1.780743241
2014-01-10,Bandung,42.76171017
2014-01-11,Bandung,17.54667091
2014-01-12,Bandung,42.46479321
2014-01-13,Bandung,6.460397243
2014-01-14,Bandung,33.26228428
2014-01-15,Bandung,48.45235634
2014-01-16,Bandung,49.80516815
2014-01-17,Bandung,19.97999239
2014-01-18,Bandung,26.67017269
2014-01-19,Bandung,7.067420483
2014-01-20,Bandung,14.37099409
2014-01-21,Bandung,9.143133402
2014-01-22,Bandung,5.193500519
2014-01-23,Bandung,0.9826231599
2014-01-24,Bandung,1.085073888
2014-01-25,Bandung,3.569137573
2014-01-26,Bandung,5.052181721
2014-01-27,Bandung,3.777461529
2014-01-28,Bandung,0.7536189258
2014-01-29,Bandung,0
2014-01-30,Bandung,0
2014-01-31,Bandung,1.063190013
2014-02-01,Bandung,1.716619134
2014-02-02,Bandung,3.107868433
2014-02-03,Bandung,2.572320879
2014-02-04,Bandung,2.639657021
2014-02-05,Bandung,7.335197926
2014-02-06,Bandung,32.15566921
2014-02-07,Bandung,55.20653915
2014-02-08,Bandung,13.92127848
2014-02-09,Bandung,27.2740345
2014-02-10,Bandung,3.603336453
2014-02-11,Bandung,6.447773695
2014-02-12,Bandung,6.302166224
2014-02-13,Bandung,5.914247274
2014-02-14,Bandung,2.309023082
2014-02-15,Bandung,4.09894681
2014-02-16,Bandung,87.46151733
2014-02-17,Bandung,31.20712566
2014-02-18,Bandung,23.43096256
2014-02-19,Bandung,2.223246038
2014-02-20,Bandung,19.51588154
2014-02-21,Bandung,4.926626801
2014-02-22,Bandung,9.630157471
2014-02-23,Bandung,9.746424437
2014-02-24,Bandung,2.627961516
2014-02-25,Bandung,1.053477466
2014-02-26,Bandung,0.009665698512
2014-02-27,Bandung,18.33619881
2014-02-28,Bandung,18.68662977
2014-03-01,Bandung,9.7653265
2014-03-02,Bandung,24.25695419
2014-03-03,Bandung,6.308270931
2014-03-04,Bandung,10.21290994
2014-03-05,Bandung,9.094685555
2014-03-06,Bandung,26.79972553
2014-03-07,Bandung,54.39702415
2014-03-08,Bandung,32.38635349
2014-03-09,Bandung,19.47204065
2014-03-10,Bandung,5.701465487
2014-03-11,Bandung,8.541198492
2014-03-12,Bandung,54.05002213
2014-03-13,Bandung,8.64013052
2014-03-14,Bandung,0.7683566809
2014-03-15,Bandung,4.574002147
2014-03-16,Bandung,5.847543955
2014-03-17,Bandung,7.729911804
2014-03-18,Bandung,22.5508275
2014-03-19,Bandung,3.579459429
2014-03-20,Bandung,5.640303254
2014-03-21,Bandung,4.878380299
2014-03-22,Bandung,0
2014-03-23,Bandung,0.07176666521
2014-03-24,Bandung,5.345232725
2014-03-25,Bandung,25.12667656
2014-03-26,Bandung,0.6595094204
2014-03-27,Bandung,10.58826184
2014-03-28,Bandung,56.40260696
2014-03-29,Bandung,17.5428443
2014-03-30,Bandung,0.8499775529
2014-03-31,Bandung,1.83245033
2014-04-01,Bandung,0.2198638245
2014-04-02,Bandung,5.914377451
2014-04-03,Bandung,20.37308693
2014-04-04,Bandung,32.47732544
2014-04-05,Bandung,22.48068094
2014-04-06,Bandung,17.43511677
2014-04-07,Bandung,2.807061374
2014-04-08,Bandung,4.060236812
2014-04-09,Bandung,8.08006525
2014-04-10,Bandung,7.988466024
2014-04-11,Bandung,19.01733541
2014-04-12,Bandung,3.145650029
2014-04-13,Bandung,24.35036373
2014-04-14,Bandung,29.62238216
2014-04-15,Bandung,3.724713564
2014-04-16,Bandung,3.53288126
2014-04-17,Bandung,2.634123087
2014-04-18,Bandung,8.644905567
2014-04-19,Bandung,1.867306352
2014-04-20,Bandung,9.194918633
2014-04-21,Bandung,15.12655592
2014-04-22,Bandung,11.61518097
2014-04-23,Bandung,9.584758759
2014-04-24,Bandung,6.52748394
2014-04-25,Bandung,59.94779778
2014-04-26,Bandung,12.84808874
2014-04-27,Bandung,19.92267466
2014-04-28,Bandung,2.984125078
2014-04-29,Bandung,1.723147988
2014-04-30,Bandung,8.032459974
2014-05-01,Bandung,1.323789418
2014-05-02,Bandung,6.368489027
2014-05-03,Bandung,1.583199799
2014-05-04,Bandung,1.124950022
2014-05-05,Bandung,2.779448032
2014-05-06,Bandung,7.369907141
2014-05-07,Bandung,7.261572361
2014-05-08,Bandung,0.7313644588
2014-05-09,Bandung,23.00977564
2014-05-10,Bandung,0.474079147
2014-05-11,Bandung,0.6130835563
2014-05-12,Bandung,0.4622986615
2014-05-13,Bandung,33.94501019
2014-05-14,Bandung,14.92430878
2014-05-15,Bandung,37.3351965
2014-05-16,Bandung,8.954811573
2014-05-17,Bandung,17.59934378
2014-05-18,Bandung,8.883824587
2014-05-19,Bandung,2.572661698
2014-05-20,Bandung,2.706815064
2014-05-21,Bandung,35.00380039
2014-05-22,Bandung,12.66538239
2014-05-23,Bandung,9.060311794
2014-05-24,Bandung,0.09894921631
2014-05-25,Bandung,7.454189301
2014-05-26,Bandung,0.4389201701
2014-05-27,Bandung,1.252626657
2014-05-28,Bandung,0.2201466188
2014-05-29,Bandung,0
2014-05-30,Bandung,10.33987141
2014-05-31,Bandung,0
2014-06-01,Bandung,0.5716538876
2014-06-02,Bandung,0
2014-06-03,Bandung,0
2014-06-04,Bandung,5.994438887
2014-06-05,Bandung,6.028096676
2014-06-06,Bandung,0
2014-06-07,Bandung,0
2014-06-08,Bandung,0
2014-06-09,Bandung,0
2014-06-10,Bandung,1.720358849
2014-06-11,Bandung,1.386437595
2014-06-12,Bandung,12.00498533
2014-06-13,Bandung,2.364901185
2014-06-14,Bandung,3.172085166
2014-06-15,Bandung,5.309370518
2014-06-16,Bandung,6.289767981
2014-06-17,Bandung,14.08283043
2014-06-18,Bandung,5.07907784
2014-06-19,Bandung,27.33850479
2014-06-20,Bandung,1.346258283
2014-06-21,Bandung,3.95795846
2014-06-22,Bandung,17.44783974
2014-06-23,Bandung,48.264925
2014-06-24,Bandung,3.737376451
2014-06-25,Bandung,18.67874479
2014-06-26,Bandung,5.574252605
2014-06-27,Bandung,0.8544637263
2014-06-28,Bandung,4.474777579
2014-06-29,Bandung,0
2014-06-30,Bandung,2.643738627
2014-07-01,Bandung,0
2014-07-02,Bandung,0.7536799014
2014-07-03,Bandung,0.0857097432
2014-07-04,Bandung,0
2014-07-05,Bandung,1.813789308
2014-07-06,Bandung,0.05492512509
2014-07-07,Bandung,0
2014-07-08,Bandung,0
2014-07-09,Bandung,0
2014-07-10,Bandung,0
2014-07-11,Bandung,12.63040352
2014-07-12,Bandung,22.90165615
2014-07-13,Bandung,126.0424576
2014-07-14,Bandung,0
2014-07-15,Bandung,0.8316805065
2014-07-16,Bandung,0
2014-07-17,Bandung,0
2014-07-18,Bandung,0.8561193645
2014-07-19,Bandung,0.1074069925
2014-07-20,Bandung,0
2014-07-21,Bandung,0.1127396375
2014-07-22,Bandung,20.83996439
2014-07-23,Bandung,15.02742863
2014-07-24,Bandung,6.76976037
2014-07-25,Bandung,2.253315032
2014-07-26,Bandung,19.53776407
2014-07-27,Bandung,0.01532404684
2014-07-28,Bandung,0.03815867286
2014-07-29,Bandung,0
2014-07-30,Bandung,1.225597054
2014-07-31,Bandung,0
2014-08-01,Bandung,0
2014-08-02,Bandung,0
2014-08-03,Bandung,10.52513766
2014-08-04,Bandung,10.51611257
2014-08-05,Bandung,2.920073032
2014-08-06,Bandung,3.731820345
2014-08-07,Bandung,1.770347357
2014-08-08,Bandung,0
2014-08-09,Bandung,0.9389155805
2014-08-10,Bandung,15.92656803
2014-08-11,Bandung,38.64162254
2014-08-12,Bandung,6.060912609
2014-08-13,Bandung,0.8510136008
2014-08-14,Bandung,0
2014-08-15,Bandung,0
2014-08-16,Bandung,0
2014-08-17,Bandung,0
2014-08-18,Bandung,0
2014-08-19,Bandung,0
2014-08-20,Bandung,0.2595131099
2014-08-21,Bandung,1.911007583
2014-08-22,Bandung,7.305921078
2014-08-23,Bandung,0.3850183636
2014-08-24,Bandung,0
2014-08-25,Bandung,1.440434217
2014-08-26,Bandung,0
2014-08-27,Bandung,0
2014-08-28,Bandung,15.21328068
2014-08-29,Bandung,14.50120211
2014-08-30,Bandung,0
2014-08-31,Bandung,0
2014-09-01,Bandung,0.1712000482
2014-09-02,Bandung,0
2014-09-03,Bandung,0
2014-09-04,Bandung,4.427516699
2014-09-05,Bandung,0
2014-09-06,Bandung,0
2014-09-07,Bandung,0.04691797122
2014-09-08,Bandung,1.387084275
2014-09-09,Bandung,0
2014-09-10,Bandung,0
2014-09-11,Bandung,4.541566372
2014-09-12,Bandung,0
2014-09-13,Bandung,0
2014-09-14,Bandung,0
2014-09-15,Bandung,1.018977553
2014-09-16,Bandung,0
2014-09-17,Bandung,0.1841139011
2014-09-18,Bandung,3.044498205
2014-09-19,Bandung,0
2014-09-20,Bandung,9.691275358
2014-09-21,Bandung,0
2014-09-22,Bandung,0.02150806831
2014-09-23,Bandung,0
2014-09-24,Bandung,0.3954207301
2014-09-25,Bandung,0
2014-09-26,Bandung,0
2014-09-27,Bandung,1.29602927
2014-09-28,Bandung,0.03835561685
2014-09-29,Bandung,0.3525506034
2014-09-30,Bandung,0
2014-10-01,Bandung,2.473264933
2014-10-02,Bandung,0
2014-10-03,Bandung,0
2014-10-04,Bandung,0
