Month_Index,Kabupaten,NDVI,SoilMoisture_acc,Elevation_m
0,Bandung,0,0.4325411022,692
1,Bandung,0.222603187,0.4291467667,692
2,Bandung,0.1724117547,0.4298417568,692
3,Bandung,0.3036871552,0.4316535294,692
4,Bandung,0.1378068179,0.4240844548,692
5,Bandung,0.3120870292,0.4195161462,692
6,Bandung,0.3988077641,0.4143256545,692
7,Bandung,0.2491092682,0.3964693248,692
8,Bandung,0.1505035013,0.3289762437,692
9,Bandung,0.3313347101,0.2975188494,692
10,Bandung,0.3028872013,0.3830526471,692
11,Bandung,0.2076412141,0.4329491854,692
12,Bandung,0.1207576618,0.4237112999,692
13,Bandung,0.1551338881,0.4317869246,692
14,Bandung,0.3826222122,0.428883642,692
15,Bandung,0.4062342346,0.4273545146,692
16,Bandung,0.1762390584,0.4072711468,692
17,Bandung,0.2380262166,0.3664277494,692
18,Bandung,0.2517016232,0.3087480962,692
19,Bandung,0.2695578039,0.300068289,692
20,Bandung,0.1295741498,0.2777363658,692
21,Bandung,0.1456409395,0.2541278601,692
22,Bandung,0.2558533549,0.3488737047,692
23,Bandung,0.1146769226,0.4134782553,692
24,Bandung,0.2613515556,0.4247943759,692
25,Bandung,0.1668611169,0.4304474592,692
26,Bandung,0.1327920705,0.4297152758,692
27,Bandung,0.1993912011,0.4327706397,692
28,Bandung,0.2380322665,0.4267782569,692
29,Bandung,0.172420904,0.422285974,692
30,Bandung,0.2925332785,0.424107343,692
31,Bandung,0.4105168283,0.4041568637,692
32,Bandung,0.344163388,0.4260908365,692
33,Bandung,0.06806066632,0.4317857325,692
34,Bandung,0.1964532584,0.4364106953,692
35,Bandung,0.2385941148,0.4238141477,692
36,Bandung,0.2399562597,0.4282220602,692
37,Bandung,0.1437119246,0.4256744087,692
38,Bandung,0.2093030363,0.4279961586,692
39,Bandung,0.1790260077,0.4313732088,692
40,Bandung,0.3666499853,0.4119280875,692
41,Bandung,0.08283683658,0.4051507413,692
42,Bandung,0.1677243263,0.3943885863,692
43,Bandung,0.3191993237,0.3562822044,692
44,Bandung,0.3427569568,0.2919250131,692
45,Bandung,0.2118833214,0.4168616831,692
46,Bandung,0.1391717046,0.4322329462,692
47,Bandung,0.0287588574,0.4279273152,692
48,Bandung,0.0853632465,0.4263137579,692
49,Bandung,0.272107929,0.4266706705,692
50,Bandung,0.1565210372,0.4279455543,692
51,Bandung,0.1629720181,0.4245414138,692
52,Bandung,0.3529181778,0.4093874991,692
53,Bandung,0.3539602458,0.388897419,692
54,Bandung,0.14563784,0.3581713736,692
55,Bandung,0.1646956056,0.3074575961,692
56,Bandung,0.2940013111,0.3069619238,692
57,Bandung,0.3486525714,0.3013934791,692
58,Bandung,0.1880181283,0.405975759,692
59,Bandung,0.158326,0.4264848232,692
60,Bandung,0.02103677392,0.4237710536,692
61,Bandung,0.3657189012,0.4298304617,692
62,Bandung,0.01413914841,0.4269877076,692
63,Bandung,0.2072573602,0.4297695458,692
64,Bandung,0.2605018616,0.4135228395,692
65,Bandung,0.2767035365,0.3771087825,692
66,Bandung,0.284771353,0.3225541115,692
67,Bandung,0.1385687441,0.2860764861,692
68,Bandung,0.2403472364,0.2668939531,692
69,Bandung,0.397543937,0.2599079907,692
70,Bandung,0.2283903956,0.3332004547,692
71,Bandung,0.0430287607,0.4003202617,692
72,Bandung,0.1687516868,0.4227275252,692
73,Bandung,0.1314228475,0.429579705,692
74,Bandung,0.3633314967,0.4290742278,692
75,Bandung,0.2260948569,0.4283683002,692
76,Bandung,0.1699755639,0.428075701,692
77,Bandung,0.3483011425,0.4093158543,692
78,Bandung,0.385545522,0.3901695311,692
79,Bandung,0.1414415091,0.3489785194,692
80,Bandung,0.1257359087,0.3213972747,692
81,Bandung,0.2887281179,0.4020491838,692
