date,Kabupaten,MODIS_LST_Mean,MODIS_LST_Max,MODIS_LST_Percentile95,MODIS_Cloud_Cover_Percentage,MODIS_Max_Lon,MODIS_Max_Lat
2014-01-01,Bandung,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-01,Kota Cimahi,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-01,Kota Tasikmalaya,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-01,Tasikmalaya,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-01,Ciamis,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-01,Kota Banjar,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-01,Bekasi,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-01,Bogor,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-01,Cianjur,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-01,Cirebon,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-01,Garut,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-01,Indramayu,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-01,Karawang,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-01,Kota Bandung,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-01,Kota Bogor,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-01,Kota Cirebon,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-01,Kota Sukabumi,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-01,Kuningan,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-01,Majalengka,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-01,Purwakarta,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-01,Subang,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-01,Sukabumi,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-01,Sumedang,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-01,Kota Bekasi,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-01,Kota Depok,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-02,Bandung,26.03600000000004,27.230000000000018,27.230000000000018,99.68051118210862,,
2014-01-02,Kota Cimahi,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-02,Kota Tasikmalaya,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-02,Tasikmalaya,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-02,Ciamis,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-02,Kota Banjar,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-02,Bekasi,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-02,Bogor,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-02,Cianjur,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-02,Cirebon,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-02,Garut,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-02,Indramayu,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-02,Karawang,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-02,Kota Bandung,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-02,Kota Bogor,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-02,Kota Cirebon,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-02,Kota Sukabumi,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-02,Kuningan,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-02,Majalengka,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-02,Purwakarta,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-02,Subang,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-02,Sukabumi,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-02,Sumedang,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-02,Kota Bekasi,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-02,Kota Depok,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-03,Bandung,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-03,Kota Cimahi,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-03,Kota Tasikmalaya,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-03,Tasikmalaya,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-03,Ciamis,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-03,Kota Banjar,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-03,Bekasi,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-03,Bogor,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-03,Cianjur,32.3492845500558,34.27000000000004,34.02333333333337,94.93706621728441,,
2014-01-03,Cirebon,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-03,Garut,31.579157277788426,34.57000000000005,33.139728096676784,91.38534076730535,,
2014-01-03,Indramayu,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-03,Karawang,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-03,Kota Bandung,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-03,Kota Bogor,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-03,Kota Cirebon,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-03,Kota Sukabumi,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-03,Kuningan,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-03,Majalengka,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-03,Purwakarta,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-03,Subang,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-03,Sukabumi,28.79500000000003,29.970000000000027,29.970000000000027,99.90397406169949,,
2014-01-03,Sumedang,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-03,Kota Bekasi,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-03,Kota Depok,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-04,Bandung,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-04,Kota Cimahi,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-04,Kota Tasikmalaya,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-04,Tasikmalaya,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-04,Ciamis,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-04,Kota Banjar,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-04,Bekasi,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-04,Bogor,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-04,Cianjur,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-04,Cirebon,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-04,Garut,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-04,Indramayu,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-04,Karawang,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-04,Kota Bandung,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-04,Kota Bogor,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-04,Kota Cirebon,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-04,Kota Sukabumi,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-04,Kuningan,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-04,Majalengka,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-04,Purwakarta,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-04,Subang,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-04,Sukabumi,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-04,Sumedang,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-04,Kota Bekasi,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-04,Kota Depok,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-05,Bandung,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-05,Kota Cimahi,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-05,Kota Tasikmalaya,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-05,Tasikmalaya,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-05,Ciamis,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-05,Kota Banjar,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-05,Bekasi,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-05,Bogor,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-05,Cianjur,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-05,Cirebon,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-05,Garut,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-05,Indramayu,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-05,Karawang,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-05,Kota Bandung,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-05,Kota Bogor,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-05,Kota Cirebon,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-05,Kota Sukabumi,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-05,Kuningan,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-05,Majalengka,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-05,Purwakarta,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-05,Subang,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-05,Sukabumi,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-05,Sumedang,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-05,Kota Bekasi,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-05,Kota Depok,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-06,Bandung,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-06,Kota Cimahi,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-06,Kota Tasikmalaya,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-06,Tasikmalaya,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-06,Ciamis,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-06,Kota Banjar,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-06,Bekasi,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-06,Bogor,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-06,Cianjur,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-06,Cirebon,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-06,Garut,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-06,Indramayu,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-06,Karawang,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-06,Kota Bandung,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-06,Kota Bogor,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-06,Kota Cirebon,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-06,Kota Sukabumi,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-06,Kuningan,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-06,Majalengka,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-06,Purwakarta,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-06,Subang,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-06,Sukabumi,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-06,Sumedang,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-06,Kota Bekasi,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-06,Kota Depok,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-07,Bandung,29.048814332247584,32.150000000000034,32.150000000000034,99.80768026060265,,
2014-01-07,Kota Cimahi,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-07,Kota Tasikmalaya,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-07,Tasikmalaya,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-07,Ciamis,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-07,Kota Banjar,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-07,Bekasi,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-07,Bogor,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-07,Cianjur,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-07,Cirebon,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-07,Garut,29.727168394708634,32.29000000000002,32.29000000000002,99.64605958144679,,
2014-01-07,Indramayu,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-07,Karawang,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-07,Kota Bandung,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-07,Kota Bogor,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-07,Kota Cirebon,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-07,Kota Sukabumi,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-07,Kuningan,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-07,Majalengka,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-07,Purwakarta,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-07,Subang,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-07,Sukabumi,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-07,Sumedang,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-07,Kota Bekasi,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-07,Kota Depok,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-08,Bandung,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-08,Kota Cimahi,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-08,Kota Tasikmalaya,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-08,Tasikmalaya,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-08,Ciamis,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-08,Kota Banjar,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-08,Bekasi,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-08,Bogor,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-08,Cianjur,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-08,Cirebon,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-08,Garut,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-08,Indramayu,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-08,Karawang,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-08,Kota Bandung,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-08,Kota Bogor,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-08,Kota Cirebon,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-08,Kota Sukabumi,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-08,Kuningan,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-08,Majalengka,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-08,Purwakarta,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-08,Subang,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-08,Sukabumi,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-08,Sumedang,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-08,Kota Bekasi,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-08,Kota Depok,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-09,Bandung,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-09,Kota Cimahi,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-09,Kota Tasikmalaya,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-09,Tasikmalaya,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-09,Ciamis,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-09,Kota Banjar,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-09,Bekasi,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-09,Bogor,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-09,Cianjur,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-09,Cirebon,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-09,Garut,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-09,Indramayu,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-09,Karawang,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-09,Kota Bandung,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-09,Kota Bogor,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-09,Kota Cirebon,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-09,Kota Sukabumi,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-09,Kuningan,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-09,Majalengka,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-09,Purwakarta,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-09,Subang,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-09,Sukabumi,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-09,Sumedang,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-09,Kota Bekasi,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-09,Kota Depok,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-10,Bandung,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-10,Kota Cimahi,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-10,Kota Tasikmalaya,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-10,Tasikmalaya,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-10,Ciamis,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-10,Kota Banjar,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-10,Bekasi,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-10,Bogor,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-10,Cianjur,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-10,Cirebon,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-10,Garut,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-10,Indramayu,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-10,Karawang,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-10,Kota Bandung,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-10,Kota Bogor,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-10,Kota Cirebon,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-10,Kota Sukabumi,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-10,Kuningan,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-10,Majalengka,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-10,Purwakarta,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-10,Subang,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-10,Sukabumi,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-10,Sumedang,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-10,Kota Bekasi,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-10,Kota Depok,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-11,Bandung,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-11,Kota Cimahi,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-11,Kota Tasikmalaya,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-11,Tasikmalaya,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-11,Ciamis,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-11,Kota Banjar,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-11,Bekasi,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-11,Bogor,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-11,Cianjur,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-11,Cirebon,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-11,Garut,29.130000000000052,29.130000000000052,29.130000000000052,99.96937662449415,,
2014-01-11,Indramayu,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-11,Karawang,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-11,Kota Bandung,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-11,Kota Bogor,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-11,Kota Cirebon,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-11,Kota Sukabumi,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-11,Kuningan,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-11,Majalengka,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-11,Purwakarta,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-11,Subang,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-11,Sukabumi,30.05949640287774,30.83000000000004,30.83000000000004,99.856055235626,,
2014-01-11,Sumedang,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-11,Kota Bekasi,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-11,Kota Depok,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-12,Bandung,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-12,Kota Cimahi,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-12,Kota Tasikmalaya,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-12,Tasikmalaya,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-12,Ciamis,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-12,Kota Banjar,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-12,Bekasi,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-12,Bogor,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-12,Cianjur,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-12,Cirebon,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-12,Garut,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-12,Indramayu,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-12,Karawang,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-12,Kota Bandung,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-12,Kota Bogor,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-12,Kota Cirebon,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-12,Kota Sukabumi,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-12,Kuningan,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-12,Majalengka,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-12,Purwakarta,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-12,Subang,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-12,Sukabumi,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-12,Sumedang,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-12,Kota Bekasi,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-12,Kota Depok,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-13,Bandung,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-13,Kota Cimahi,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-13,Kota Tasikmalaya,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-13,Tasikmalaya,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-13,Ciamis,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-13,Kota Banjar,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-13,Bekasi,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-13,Bogor,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-13,Cianjur,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-13,Cirebon,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-13,Garut,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-13,Indramayu,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-13,Karawang,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-13,Kota Bandung,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-13,Kota Bogor,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-13,Kota Cirebon,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-13,Kota Sukabumi,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-13,Kuningan,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-13,Majalengka,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-13,Purwakarta,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-13,Subang,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-13,Sukabumi,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-13,Sumedang,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-13,Kota Bekasi,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-13,Kota Depok,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-14,Bandung,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-14,Kota Cimahi,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-14,Kota Tasikmalaya,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-14,Tasikmalaya,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-14,Ciamis,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-14,Kota Banjar,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-14,Bekasi,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-14,Bogor,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-14,Cianjur,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-14,Cirebon,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-14,Garut,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-14,Indramayu,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-14,Karawang,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-14,Kota Bandung,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-14,Kota Bogor,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-14,Kota Cirebon,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-14,Kota Sukabumi,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-14,Kuningan,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-14,Majalengka,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-14,Purwakarta,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-14,Subang,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-14,Sukabumi,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-14,Sumedang,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-14,Kota Bekasi,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-14,Kota Depok,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-15,Bandung,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-15,Kota Cimahi,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-15,Kota Tasikmalaya,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-15,Tasikmalaya,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-15,Ciamis,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-15,Kota Banjar,NaN,NaN,NaN,100.0,NaN,NaN
2014-01-15,Bekasi,NaN,NaN,NaN,100.0,NaN,NaN
