date,Kabupaten,NDVI_8Day_Mean
2014-01-01,Bandung,0.3501679804811979
2014-01-01,Kota Cimahi,0.18780268398914368
2014-01-01,Kota Tasikmalaya,0.22292064968659425
2014-01-01,Tasikmalaya,0.3187711418330242
2014-01-01,Ciamis,0.36045535198759665
2014-01-01,Kota Banjar,0.41474772689918343
2014-01-01,Bekasi,0.38434653590484974
2014-01-01,Bogor,0.5382594801654577
2014-01-01,Cianjur,0.47119561612416294
2014-01-01,Cirebon,0.22996332904528474
2014-01-01,Garut,0.5333999029735527
2014-01-01,Indramayu,0.2045598032561331
2014-01-01,Karawang,0.3360405954496248
2014-01-01,Kota Bandung,0.18233227039386837
2014-01-01,Kota Bogor,0.44513464596647057
2014-01-01,Kota Cirebon,0.2958885952478113
2014-01-01,Kota Sukabumi,0.279180277284578
2014-01-01,Kuningan,0.2422285780862882
2014-01-01,Majalengka,0.3120673707146637
2014-01-01,Purwakarta,0.45942889858112507
2014-01-01,Subang,0.3200231924060941
2014-01-01,Sukabumi,0.5459498977712013
2014-01-01,Sumedang,0.34906551038102757
2014-01-01,Kota Bekasi,0.3192619343709407
2014-01-01,Kota Depok,0.46707440319273613
2014-01-09,Bandung,0.47766042987741947
2014-01-09,Kota Cimahi,0.29147843343822
2014-01-09,Kota Tasikmalaya,0.5199106492856097
2014-01-09,Tasikmalaya,0.5335221354577201
2014-01-09,Ciamis,0.41877238142073503
2014-01-09,Kota Banjar,0.41648367029024985
2014-01-09,Bekasi,0.27013039053604976
2014-01-09,Bogor,0.5175980941481917
2014-01-09,Cianjur,0.4919128822818145
2014-01-09,Cirebon,0.2554769393281281
2014-01-09,Garut,0.5004109444667688
2014-01-09,Indramayu,0.2708424873477804
2014-01-09,Karawang,0.3185008932429944
2014-01-09,Kota Bandung,0.2933684364376554
2014-01-09,Kota Bogor,0.42457270062812613
2014-01-09,Kota Cirebon,0.2556514566014061
2014-01-09,Kota Sukabumi,0.47031767539832464
2014-01-09,Kuningan,0.38378365660678826
